Species	Condition	R01	R02	R03	R04	R05	R06	R07	R08	R09
Herb_Aco	White	3	2.9	3.4	2.9	NA	NA	NA	NA	NA
Herb_Aco	Shade	3.5	1.8	1.5	1.2	NA	NA	NA	NA	NA
Herb_Aco	High	2	1.8	2.5	1.5	NA	NA	NA	NA	NA
Herb_Aco	Low	2	2	1.6	NA	NA	NA	NA	NA	NA
Herb_Aco	White	6.1	6.2	6.2	5.8	NA	NA	NA	NA	NA
Herb_Aco	Shade	6.2	3	2.5	4	NA	NA	NA	NA	NA
Herb_Aco	High	2.2	2.6	3	3.5	NA	NA	NA	NA	NA
Herb_Aco	Low	2.3	2.1	2.6	NA	NA	NA	NA	NA	NA
Herb_Aco	White	5.2	5.5	5.9	5.2	NA	NA	NA	NA	NA
Herb_Aco	Shade	6.5	4.5	4	NA	NA	NA	NA	NA	NA
Herb_Aco	High	3	2.4	3.5	4	NA	NA	NA	NA	NA
Herb_Aco	Low	5	3	4.4	NA	NA	NA	NA	NA	NA
Herb_Dca	White	6	6.9	5.2	5.5	6.5	5.5	5.8	5.5	5.1
Herb_Dca	Shade	5	5.8	5.5	7	5.1	6.3	5.4	7	6.5
Herb_Dca	High	4.7	4.2	4.5	4.2	4.5	4.5	4.5	4	4.2
Herb_Dca	Low	4.9	5.8	5	5.2	5.5	5.1	5.2	5.4	5.5
Herb_Dca	White	6.5	6	6.5	6	6	6.5	6.4	6.2	6.9
Herb_Dca	Shade	6.1	6	6.2	7.2	6.5	7.4	6	6.5	6.4
Herb_Dca	High	4.2	4.2	3.4	3	4	3	4.3	3.1	3.5
Herb_Dca	Low	6.5	6.1	5.5	5.3	6.6	6	6.9	6.2	6.1
Herb_Dca	White	6	6	6.2	6.9	6.1	6	5	5.5	6
Herb_Dca	Shade	2.2	2.1	2	2.8	2	2	2.2	2.1	2.2
Herb_Dca	High	4	3.5	3.4	3.5	3	3.1	2.1	3	2.1
Herb_Dca	Low	5.1	5.6	6.5	6.6	5.6	5.3	5	NA	NA
