	Module	Ac-0h-1	Ac-0h-2	Ac-0h-3	Ac-12h-1	Ac-12h-2	Ac-12h-3	Ac-5d-1	Ac-5d-2	Ac-5d-3	Ac-FR-14-1-hypocotyl	Ac-FR-14-2-hypocotyl	Ac-FR-14-3-hypocotyl	Ac-FR-14-1-1st-leaf	Ac-FR-14-2-1st-leaf	Ac-FR-14-3-1st-leaf	Ac-FR-14-1-1st-petiole	Ac-FR-14-2-1st-petiole	Ac-FR-14-3-1st-petiole	Ac-H-14-1-hypocotyl	Ac-H-14-2-hypocotyl	Ac-H-14-3-hypocotyl	Ac-H-14-1-1st-leaf	Ac-H-14-2-1st-leaf	Ac-H-14-3-1st-leaf	Ac-H-14-1-1st-petiole	Ac-H-14-2-1st-petiole	Ac-H-14-3-1st-petiole	Ac-L-14-1-hypocotyl	Ac-L-14-2-hypocotyl	Ac-L-14-3-hypocotyl	Ac-L-14-1-1st-leaf	Ac-L-14-2-1st-leaf	Ac-L-14-3-1st-leaf	Ac-L-14-1-1st-petiole	Ac-L-14-2-1st-petiole	Ac-L-14-3-1st-petiole	Ac-W-14-1-hypocotyl	Ac-W-14-2-hypocotyl	Ac-W-14-3-hypocotyl	Ac-W-14-1-1st-leaf	Ac-W-14-2-1st-leaf	Ac-W-14-3-1st-leaf	Ac-W-14-1-1st-petiole	Ac-W-14-2-1st-petiole	Ac-W-14-3-1st-petiole
PSBS_NPQ4_Nu1	M2_NPQ_PSBS	393.534424	244.429092	342.606262	868.756409	946.43811	640.244446	633.843994	1388.078491	779.685486	24.327087	10.001438	125.404297	299.952179	246.67157	848.11499	53.582027	63.144047	377.413757	14.187507	13.550079	1.034387	911.94458	542.450134	458.371155	266.041412	134.224289	70.195419	5.930577	8.878189	37.109882	274.326538	172.318314	510.886841	27.997677	40.785385	181.423935	14.544206	22.330301	3.946538	585.601501	293.395447	504.837738	300.187469	131.114334	130.544144
PSBS_NPQ4_Nu2	M2_NPQ_PSBS	336.145233	163.225357	319.722931	532.216675	479.068329	452.121796	741.15564	842.167114	585.437988	3.401191	0.852222	6.650707	270.895325	124.708153	343.988678	50.442505	34.819321	98.457535	25.53722	12.910648	0	552.541199	238.04921	67.718948	275.129669	138.041077	53.499691	0.308507	1.323404	7.354026	283.904572	196.955002	450.399139	28.485727	66.033127	143.708786	9.408962	18.237679	0.766232	511.292786	256.340942	480.336792	209.561661	99.066185	79.238884
PSBS_NPQ4_Nu3	M2_NPQ_PSBS	278.503815	174.299698	338.783875	471.030762	485.465607	418.803101	535.381165	572.935364	519.514282	19.346647	5.369747	24.772989	218.391525	135.445419	350.959076	48.452553	39.925518	119.540176	24.507139	16.258263	0	337.245087	214.139984	58.409168	143.578522	99.740242	15.338037	7.537936	6.006648	26.728559	249.551865	199.586639	467.392944	42.722324	57.640297	162.762634	15.451961	34.930344	2.733366	451.616699	285.750885	440.851776	182.955917	148.841614	97.008583
PSBS_NPQ4_Nu4	M2_NPQ_PSBS	243.495819	160.3564	192.189682	471.248505	586.211731	409.091827	419.772919	788.726501	511.579712	4.325696	2.212977	45.383675	209.634811	81.791695	632.977051	21.639635	21.595064	181.026291	6.500487	2.840261	0	295.812531	199.789322	120.42717	109.975822	60.070786	29.257483	1.744451	4.138974	11.019566	166.153946	103.392349	256.080627	10.822412	20.414865	68.802101	3.282229	4.732635	0.584834	282.698059	134.883789	244.343597	98.7631	51.087784	48.428741
LHB1B1_Nu1	M1_PSII_LHCII	41.199162	64.567108	674.124023	327.533539	27.772419	28.166439	450.42981	195.249863	33.366318	189.435638	175.265808	257.932556	1152.13501	549.691406	135.624817	545.43219	164.883575	552.352539	120.418144	127.228516	0.324816	1124.421875	775.874512	30.316685	675.306946	817.452454	115.62513	228.520935	334.541321	158.827545	3211.962402	2937.73999	1086.035522	585.352722	1064.575195	725.556396	193.469299	245.37561	110.400635	807.475891	1055.784668	1693.150391	517.064392	737.854431	509.840088
LHB1B1_Nu2	M1_PSII_LHCII	30.542793	45.469799	667.145325	321.176117	23.789841	38.405964	473.345642	150.487823	10.781082	58.029522	55.666775	94.599571	670.513733	282.604523	134.463058	260.088104	89.662201	147.911301	105.537033	119.279915	0.276579	573.492126	313.656219	43.475998	420.549622	424.599884	39.407722	58.473602	72.964012	54.983517	2094.534912	2553.956787	1083.388306	307.75528	662.714722	349.042389	64.317596	96.658485	40.691853	857.19458	916.988708	1588.560547	262.65271	431.115875	281.323364
LHCB1.1_Nu1	M1_PSII_LHCII	0.149228	0.137	0.451178	0	0	0	0.217397	0	0	0	0.089838	0.109525	0.901939	0	2.364297	2.315107	0.091239	2.929342	0.239418	0.209194	0	5.725666	1.710037	0	2.625176	4.109709	0	0.224018	0.110412	0.210061	7.159292	5.764549	18.080559	2.304039	2.037921	5.35443	0.049539	0	0.152045	18.364115	17.028215	35.153374	4.939351	7.788253	1.905878
LHCB1.3_Nu1	M1_PSII_LHCII	837.896606	1112.337524	4578.145508	3658.847168	810.914795	1188.15564	3838.021729	3088.133545	655.512329	607.524902	451.039429	924.551453	5816.355957	3956.074463	3591.5896	2570.699463	1441.33606	2583.303955	674.273499	607.047546	1.396781	4722.901855	3239.617676	515.015564	2228.375	2331.116699	406.920135	661.615784	801.957886	781.258423	8602.817383	8869.954102	6362.396973	2275.762451	3371.78125	2732.646729	611.115479	927.547852	388.430389	4117.614258	5396.335449	6146.562988	2405.756104	3244.905029	2833.834961
LHCB1.3_Nu2	M1_PSII_LHCII	3.56374	2.981276	24.097658	7.400295	0.882224	1.562409	15.879694	9.375662	1.917843	1.227999	0.341617	2.727012	62.501282	19.737293	48.042324	66.4189	15.09939	65.34903	1.712879	0.451202	0.036557	128.397339	86.765823	4.47234	151.669205	133.619827	15.737037	4.297378	6.215324	1.557226	445.344757	530.631836	166.070251	89.478424	226.632523	95.723503	4.370252	2.708069	1.960435	232.751663	315.56485	483.69931	96.994316	167.103241	80.888412
LHCB2.1_Nu1	M1_PSII_LHCII	278.049469	281.859894	1616.804443	1042.078735	214.468948	174.060043	731.444946	576.220276	161.588333	376.448822	335.258331	561.694824	3130.619873	1438.507446	1114.403442	1646.832031	775.446716	1824.396729	287.28241	251.803024	10.665434	2817.084473	2061.364502	233.528427	1514.706543	1709.19812	278.901337	475.136383	599.166443	280.21402	6810.870117	5768.915039	2077.369141	1349.290405	1734.114746	1311.307617	199.420761	313.717712	162.319641	2232.416748	3007.447021	3888.41333	1160.269775	1335.34668	1262.948486
